"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 15:07:23 EEST 2024","Sun Jun 16 15:07:24 EEST 2024","137","tests.api","test_rest_api_registration","TestRegistration","","","Check negative registration by api",""
"broken","Sun Jun 16 15:07:35 EEST 2024","Sun Jun 16 15:07:35 EEST 2024","0","tests.ui","test_authorization_user","TestRegistrationUser","","","Test try authorization with invalid code AWDEV-T491",""
"broken","Sun Jun 16 15:07:32 EEST 2024","Sun Jun 16 15:07:32 EEST 2024","0","tests.ui","test_authorization_user","TestRegistrationUser","","","Test try authorization new user AWDEV-T491",""
"passed","Sun Jun 16 15:07:29 EEST 2024","Sun Jun 16 15:07:30 EEST 2024","553","tests.api","test_rest_api_registration","TestRegistration","","","Check registration code by api negative",""
"broken","Sun Jun 16 15:07:30 EEST 2024","Sun Jun 16 15:07:30 EEST 2024","0","tests.ui","test_authorization_user","TestRegistrationUser","","","Test Authorization authorized user AWDEV-T491",""
"broken","Sun Jun 16 15:07:40 EEST 2024","Sun Jun 16 15:07:40 EEST 2024","0","tests.ui","test_registration_new_user","TestRegistrationUser","","","test_registration_user_with_wrong_code_awdev_t506[{'name': '\u0424\u0430\u0434\u0435\u0435\u0432\u0430 \u0422\u0430\u043c\u0430\u0440\u0430 \u0418\u0432\u0430\u043d\u043e\u0432\u043d\u0430', 'email': 'onufri1989@example.net', 'phone': '+380637846454'}-8889]",""
"passed","Sun Jun 16 15:07:23 EEST 2024","Sun Jun 16 15:07:23 EEST 2024","146","tests.api","test_rest_api_registration","TestRegistration","","","Check positive registration by api",""
"passed","Sun Jun 16 15:07:24 EEST 2024","Sun Jun 16 15:07:24 EEST 2024","148","tests.api","test_rest_api_registration","TestRegistration","","","Check negative registration by api",""
"broken","Sun Jun 16 15:07:34 EEST 2024","Sun Jun 16 15:07:34 EEST 2024","0","tests.ui","test_authorization_user","TestRegistrationUser","","","Test try authorization user with invalid credentials AWDEV-T491",""
"passed","Sun Jun 16 15:07:23 EEST 2024","Sun Jun 16 15:07:23 EEST 2024","146","tests.api","test_rest_api_authorization","TestAuthorization","","","Check code registration by authentication api negative",""
"broken","Sun Jun 16 15:07:37 EEST 2024","Sun Jun 16 15:07:37 EEST 2024","0","tests.ui","test_registration_new_user","TestRegistrationUser","","","test_registration_new_user_awdev_t506[{'name': '\u041f\u043b\u0430\u0442\u043e\u043d \u0424\u0438\u043b\u0438\u043f\u043f\u043e\u0432\u0438\u0447 \u0424\u043e\u043c\u0438\u043d', 'email': 'vera1974@example.org', 'phone': '+380633130870'}-1111]",""
"passed","Sun Jun 16 15:07:23 EEST 2024","Sun Jun 16 15:07:23 EEST 2024","261","tests.api","test_rest_api_authorization","TestAuthorization","","","Check negative authentication by api",""
"broken","Sun Jun 16 15:07:38 EEST 2024","Sun Jun 16 15:07:38 EEST 2024","0","tests.ui","test_registration_new_user","TestRegistrationUser","","","test_try_registration_new_user_awdev_t506[{'name': '\u041e\u043b\u0435\u0433', 'phone': '+380637203664', 'email': 'lazebaoleg@gmail.com'}]",""
"passed","Sun Jun 16 15:07:23 EEST 2024","Sun Jun 16 15:07:23 EEST 2024","275","tests.api","test_rest_api_authorization","TestAuthorization","","","Check code registration by authentication api positive",""
"broken","Sun Jun 16 15:07:39 EEST 2024","Sun Jun 16 15:07:39 EEST 2024","0","tests.ui","test_registration_new_user","TestRegistrationUser","","","test_registration_user_with_wrong_credentials_awdev_t506[{'name': '\u041e\u043b\u0435\u0433', 'phone': '6hH1sOW', 'email': 'SFMESED'}]",""
"passed","Sun Jun 16 15:07:24 EEST 2024","Sun Jun 16 15:07:29 EEST 2024","5659","tests.api","test_rest_api_registration","TestRegistration","","","Check registration code by api positive",""
