"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 06 22:54:22 GMT 2024","Fri Sep 06 22:54:22 GMT 2024","0","tests.ui","test_registration_new_user","TestRegistrationUser","","","test_registration_user_with_wrong_credentials_awdev_t506[{'name': '\u041e\u043b\u0435\u0433', 'phone': 'dxqFBAF', 'email': 'guyiLec'}]",""
"passed","Fri Sep 06 22:03:47 GMT 2024","Fri Sep 06 22:03:52 GMT 2024","5760","tests.api","test_rest_api_registration","TestRegistration","","","Validate registration with valid code",""
"broken","Fri Sep 06 22:23:54 GMT 2024","Fri Sep 06 22:23:54 GMT 2024","0","tests.ui","test_authorization_user","TestRegistrationUser","","","Test try authorization user with invalid credentials AWDEV-T491",""
"passed","Fri Sep 06 22:03:44 GMT 2024","Fri Sep 06 22:03:44 GMT 2024","492","tests.api","test_rest_api_authorization","TestAuthorization","","","Check authentication with out phone by api",""
"broken","Fri Sep 06 23:04:22 GMT 2024","Fri Sep 06 23:04:22 GMT 2024","0","tests.ui","test_registration_new_user","TestRegistrationUser","","","test_registration_user_with_wrong_code_awdev_t506[{'name': '\u0417\u0443\u0435\u0432\u0430 \u0410\u043d\u0436\u0435\u043b\u0438\u043a\u0430 \u041a\u0443\u0437\u044c\u043c\u0438\u043d\u0438\u0447\u043d\u0430', 'email': 'stepan_2005@example.net', 'phone': '+380637650675'}-8889]",""
"passed","Fri Sep 06 22:03:45 GMT 2024","Fri Sep 06 22:03:46 GMT 2024","440","tests.api","test_rest_api_registration","TestRegistration","","","Check positive registration with full data by api",""
"broken","Fri Sep 06 22:43:55 GMT 2024","Fri Sep 06 22:43:55 GMT 2024","0","tests.ui","test_registration_new_user","TestRegistrationUser","","","test_registration_new_user_awdev_t506[{'name': '\u0412\u043b\u0430\u0434\u043b\u0435\u043d \u0424\u0438\u043b\u0438\u043c\u043e\u043d\u043e\u0432\u0438\u0447 \u0421\u0435\u043c\u0435\u043d\u043e\u0432', 'email': 'firs1982@example.net', 'phone': '+380635341848'}-1111]",""
"broken","Fri Sep 06 22:03:53 GMT 2024","Fri Sep 06 22:03:53 GMT 2024","0","tests.ui","test_authorization_user","TestRegistrationUser","","","Test Authorization authorized user AWDEV-T491",""
"passed","Fri Sep 06 22:03:46 GMT 2024","Fri Sep 06 22:03:47 GMT 2024","499","tests.api","test_rest_api_registration","TestRegistration","","","Check negative registration with phone and e-mail by api",""
"passed","Fri Sep 06 22:03:43 GMT 2024","Fri Sep 06 22:03:44 GMT 2024","547","tests.api","test_rest_api_authorization","TestAuthorization","","","Check positive authentication by api",""
"passed","Fri Sep 06 22:03:45 GMT 2024","Fri Sep 06 22:03:45 GMT 2024","731","tests.api","test_rest_api_authorization","TestAuthorization","","","Validate authorization with invalid code by api",""
"passed","Fri Sep 06 22:03:52 GMT 2024","Fri Sep 06 22:03:53 GMT 2024","497","tests.api","test_rest_api_registration","TestRegistration","","","Validate registration with invalid code",""
"passed","Fri Sep 06 22:03:46 GMT 2024","Fri Sep 06 22:03:46 GMT 2024","398","tests.api","test_rest_api_registration","TestRegistration","","","Check negative registration with phone and e-mail by api",""
"passed","Fri Sep 06 22:03:44 GMT 2024","Fri Sep 06 22:03:45 GMT 2024","501","tests.api","test_rest_api_authorization","TestAuthorization","","","Validate authorization with valid code by api",""
"broken","Fri Sep 06 22:33:55 GMT 2024","Fri Sep 06 22:33:55 GMT 2024","0","tests.ui","test_authorization_user","TestRegistrationUser","","","Test try authorization with invalid code AWDEV-T491",""
"broken","Fri Sep 06 22:13:54 GMT 2024","Fri Sep 06 22:13:54 GMT 2024","0","tests.ui","test_authorization_user","TestRegistrationUser","","","Test try authorization new user AWDEV-T491",""
"broken","Fri Sep 06 22:53:57 GMT 2024","Fri Sep 06 22:54:22 GMT 2024","25235","tests.ui","test_registration_new_user","TestRegistrationUser","","","test_try_registration_new_user_awdev_t506[{'name': '\u041e\u043b\u0435\u0433', 'phone': '+380637203664', 'email': 'lazebaoleg@gmail.com'}]",""
